Date,y
1/11/2016,5.922619048
1/12/2016,5.566319444
1/13/2016,4.856944444
1/14/2016,3.431944444
1/15/2016,2.665277778
1/16/2016,2.194097222
1/17/2016,0.392708333
1/18/2016,-2.937847222
1/19/2016,-2.929166667
1/20/2016,-1.621875
1/21/2016,0.175
1/22/2016,1.598958333
1/23/2016,5.860416667
1/24/2016,6.887847222
1/25/2016,9.531597222
1/26/2016,9.551388889
1/27/2016,10.21909722
1/28/2016,5.869444444
1/29/2016,6.651736111
1/30/2016,6.920138889
1/31/2016,7.171527778
2/1/2016,10.95659722
2/2/2016,8.3
2/3/2016,4.886805556
2/4/2016,5.700347222
2/5/2016,8.972222222
2/6/2016,9.751736111
2/7/2016,8.263541667
2/8/2016,7.980208333
2/9/2016,4.990972222
2/10/2016,4.232638889
2/11/2016,3.538194444
2/12/2016,3.213888889
2/13/2016,2.301041667
2/14/2016,2.732291667
2/15/2016,2.744444444
2/16/2016,0.0875
2/17/2016,-0.497222222
2/18/2016,1.167013889
2/19/2016,3.163194444
2/20/2016,8.41875
2/21/2016,10.84965278
2/22/2016,8.370833333
2/23/2016,4.321180556
2/24/2016,2.021875
2/25/2016,2.398611111
2/26/2016,3.078125
2/27/2016,3.060416667
2/28/2016,2.54375
2/29/2016,2.153125
3/1/2016,2.452430556
3/2/2016,5.936805556
3/3/2016,4.016666667
3/4/2016,4.074305556
3/5/2016,2.750347222
3/6/2016,2.761805556
3/7/2016,1.615277778
3/8/2016,3.252083333
3/9/2016,5.178819444
3/10/2016,4.634375
3/11/2016,4.353125
3/12/2016,4.529861111
3/13/2016,3.911805556
3/14/2016,3.107291667
3/15/2016,4.321180556
3/16/2016,5.24375
3/17/2016,4.597222222
3/18/2016,3.826388889
3/19/2016,5.642361111
3/20/2016,5.882986111
3/21/2016,6.973958333
3/22/2016,6.911805556
3/23/2016,7.007638889
3/24/2016,7.156944444
3/25/2016,7.070833333
3/26/2016,9.208333333
3/27/2016,8.969791667
3/28/2016,8.929513889
3/29/2016,8.307291667
3/30/2016,9.071875
3/31/2016,6.925
4/1/2016,7.143055556
4/2/2016,9.333680556
4/3/2016,15.3125
4/4/2016,12.44340278
4/5/2016,10.73715278
4/6/2016,8.603125
4/7/2016,7.427083333
4/8/2016,7.957986111
4/9/2016,8.958680556
4/10/2016,9.345833333
4/11/2016,12.88854167
4/12/2016,10.64826389
4/13/2016,8.209722222
4/14/2016,9.322569444
4/15/2016,11.671875
4/16/2016,9.086111111
4/17/2016,5.509375
4/18/2016,6.659722222
4/19/2016,8.893055556
4/20/2016,8.882291667
4/21/2016,11.9125
4/22/2016,11.14166667
4/23/2016,7.106597222
4/24/2016,4.091666667
4/25/2016,4.853472222
4/26/2016,3.793055556
4/27/2016,4.772916667
4/28/2016,4.531134259
4/29/2016,6.675810185
4/30/2016,7.490625
5/1/2016,7.963888889
5/2/2016,10.19895833
5/3/2016,10.58020833
5/4/2016,9.895833333
5/5/2016,12.8
5/6/2016,15.87847222
5/7/2016,18.51909722
5/8/2016,19.37256944
5/9/2016,18.51979167
5/10/2016,16.71736111
5/11/2016,17.57326389
5/12/2016,16.52569444
5/13/2016,16.77465278
5/14/2016,9.617361111
5/15/2016,8.556597222
5/16/2016,10.28680556
5/17/2016,12.49479167
5/18/2016,12.92361111
5/19/2016,12.26458333
5/20/2016,13.77743056
5/21/2016,17.85104167
5/22/2016,15.51388889
5/23/2016,12.57048611
5/24/2016,11.56875
5/25/2016,11.56354167
5/26/2016,14.92361111
5/27/2016,17.19541284
