"","ds","y"
"1",2016-01-11,5.92261904761905
"2",2016-01-12,5.56631944444444
"3",2016-01-13,4.85694444444444
"4",2016-01-14,3.43194444444444
"5",2016-01-15,2.66527777777778
"6",2016-01-16,2.19409722222222
"7",2016-01-17,0.392708333333333
"8",2016-01-18,-2.93784722222222
"9",2016-01-19,-2.92916666666667
"10",2016-01-20,-1.621875
"11",2016-01-21,0.175
"12",2016-01-22,1.59895833333333
"13",2016-01-23,5.86041666666667
"14",2016-01-24,6.88784722222222
"15",2016-01-25,9.53159722222222
"16",2016-01-26,9.55138888888889
"17",2016-01-27,10.2190972222222
"18",2016-01-28,5.86944444444444
"19",2016-01-29,6.65173611111111
"20",2016-01-30,6.92013888888889
"21",2016-01-31,7.17152777777778
"22",2016-02-01,10.9565972222222
"23",2016-02-02,8.3
"24",2016-02-03,4.88680555555556
"25",2016-02-04,5.70034722222222
"26",2016-02-05,8.97222222222222
"27",2016-02-06,9.75173611111111
"28",2016-02-07,8.26354166666667
"29",2016-02-08,7.98020833333333
"30",2016-02-09,4.99097222222222
"31",2016-02-10,4.23263888888889
"32",2016-02-11,3.53819444444444
"33",2016-02-12,3.21388888888889
"34",2016-02-13,2.30104166666667
"35",2016-02-14,2.73229166666667
"36",2016-02-15,2.74444444444444
"37",2016-02-16,0.0875
"38",2016-02-17,-0.497222222222222
"39",2016-02-18,1.16701388888889
"40",2016-02-19,3.16319444444444
"41",2016-02-20,8.41875
"42",2016-02-21,10.8496527777778
"43",2016-02-22,8.37083333333333
"44",2016-02-23,4.32118055555556
"45",2016-02-24,2.021875
"46",2016-02-25,2.39861111111111
"47",2016-02-26,3.078125
"48",2016-02-27,3.06041666666667
"49",2016-02-28,2.54375
"50",2016-02-29,2.153125
"51",2016-03-01,2.45243055555556
"52",2016-03-02,5.93680555555556
"53",2016-03-03,4.01666666666667
"54",2016-03-04,4.07430555555556
"55",2016-03-05,2.75034722222222
"56",2016-03-06,2.76180555555556
"57",2016-03-07,1.61527777777778
"58",2016-03-08,3.25208333333333
"59",2016-03-09,5.17881944444444
"60",2016-03-10,4.634375
"61",2016-03-11,4.353125
"62",2016-03-12,4.52986111111111
"63",2016-03-13,3.91180555555556
"64",2016-03-14,3.10729166666667
"65",2016-03-15,4.32118055555556
"66",2016-03-16,5.24375
"67",2016-03-17,4.59722222222222
"68",2016-03-18,3.82638888888889
"69",2016-03-19,5.64236111111111
"70",2016-03-20,5.88298611111111
"71",2016-03-21,6.97395833333333
"72",2016-03-22,6.91180555555556
"73",2016-03-23,7.00763888888889
"74",2016-03-24,7.15694444444444
"75",2016-03-25,7.07083333333333
"76",2016-03-26,9.20833333333333
"77",2016-03-27,8.96979166666667
"78",2016-03-28,8.92951388888889
"79",2016-03-29,8.30729166666667
"80",2016-03-30,9.071875
"81",2016-03-31,6.925
"82",2016-04-01,7.14305555555556
"83",2016-04-02,9.33368055555555
"84",2016-04-03,15.3125
"85",2016-04-04,12.4434027777778
"86",2016-04-05,10.7371527777778
"87",2016-04-06,8.603125
"88",2016-04-07,7.42708333333333
"89",2016-04-08,7.95798611111111
"90",2016-04-09,8.95868055555555
"91",2016-04-10,9.34583333333333
"92",2016-04-11,12.8885416666667
"93",2016-04-12,10.6482638888889
"94",2016-04-13,8.20972222222222
"95",2016-04-14,9.32256944444445
"96",2016-04-15,11.671875
"97",2016-04-16,9.08611111111111
"98",2016-04-17,5.509375
"99",2016-04-18,6.65972222222222
"100",2016-04-19,8.89305555555556
"101",2016-04-20,8.88229166666667
"102",2016-04-21,11.9125
"103",2016-04-22,11.1416666666667
"104",2016-04-23,7.10659722222222
"105",2016-04-24,4.09166666666667
"106",2016-04-25,4.85347222222222
"107",2016-04-26,3.79305555555556
"108",2016-04-27,4.77291666666667
"109",2016-04-28,4.53113425925926
"110",2016-04-29,6.67581018518518
"111",2016-04-30,7.490625
"112",2016-05-01,7.96388888888889
"113",2016-05-02,10.1989583333333
"114",2016-05-03,10.5802083333333
"115",2016-05-04,9.89583333333333
"116",2016-05-05,12.8
"117",2016-05-06,15.8784722222222
"118",2016-05-07,18.5190972222222
"119",2016-05-08,19.3725694444444
"120",2016-05-09,18.5197916666667
"121",2016-05-10,16.7173611111111
"122",2016-05-11,17.5732638888889
"123",2016-05-12,16.5256944444444
"124",2016-05-13,16.7746527777778
"125",2016-05-14,9.61736111111111
"126",2016-05-15,8.55659722222222
"127",2016-05-16,10.2868055555556
"128",2016-05-17,12.4947916666667
"129",2016-05-18,12.9236111111111
"130",2016-05-19,12.2645833333333
"131",2016-05-20,13.7774305555556
"132",2016-05-21,17.8510416666667
"133",2016-05-22,15.5138888888889
"134",2016-05-23,12.5704861111111
"135",2016-05-24,11.56875
"136",2016-05-25,11.5635416666667
"137",2016-05-26,14.9236111111111
"138",2016-05-27,17.1954128440367
